Slot Id,Time slot,Imbalance price,DA price,Wind,Biomass,Fossil Gas,Fossil Hard Coal,Fossil Oil,Solar,Waste
199,03.06.2025 01:30 - 03.06.2025 01:45,-0.8,109.91,321,157.55,94.13,119.55,19.28,2.18,91.96
200,03.06.2025 01:45 - 03.06.2025 02:00,-0.5,109.91,293,157.55,94.13,119.55,19.28,2.18,91.96
201,03.06.2025 02:00 - 03.06.2025 02:15,-1,102.02,260,191.69,100.63,129.25,21.49,2.27,97.1
202,03.06.2025 02:15 - 03.06.2025 02:30,-1.49,102.02,215,191.69,100.63,129.25,21.49,2.27,97.1
203,03.06.2025 02:30 - 03.06.2025 02:45,102.02,102.02,153,191.69,100.63,129.25,21.49,2.27,97.1
204,03.06.2025 02:45 - 03.06.2025 03:00,201.15,102.02,130,191.69,100.63,129.25,21.49,2.27,97.1
205,03.06.2025 03:00 - 03.06.2025 03:15,488.7,99.23,109,209.98,110.16,131.05,23.54,2.63,93.19
206,03.06.2025 03:15 - 03.06.2025 03:30,803.54,99.23,85,209.98,110.16,131.05,23.54,2.63,93.19
207,03.06.2025 03:30 - 03.06.2025 03:45,99.23,99.23,75,209.98,110.16,131.05,23.54,2.63,93.19
208,03.06.2025 03:45 - 03.06.2025 04:00,43.32,99.23,58,209.98,110.16,131.05,23.54,2.63,93.19
209,03.06.2025 04:00 - 03.06.2025 04:15,20.81,94.9,52,166.44,105.49,129.96,21.04,6.6,91.85
210,03.06.2025 04:15 - 03.06.2025 04:30,94.9,94.9,50,166.44,105.49,129.96,21.04,6.6,91.85
211,03.06.2025 04:30 - 03.06.2025 04:45,6.71,94.9,55,166.44,105.49,129.96,21.04,6.6,91.85
212,03.06.2025 04:45 - 03.06.2025 05:00,0.13,94.9,56,166.44,105.49,129.96,21.04,6.6,91.85
213,03.06.2025 05:00 - 03.06.2025 05:15,107.61,107.61,40,180.53,105.27,129.46,20.91,105.99,92.71
214,03.06.2025 05:15 - 03.06.2025 05:30,107.61,107.61,21,180.53,105.27,129.46,20.91,105.99,92.71
215,03.06.2025 05:30 - 03.06.2025 05:45,1.25,107.61,13,180.53,105.27,129.46,20.91,105.99,92.71
216,03.06.2025 05:45 - 03.06.2025 06:00,107.61,107.61,10,180.53,105.27,129.46,20.91,105.99,92.71
217,03.06.2025 06:00 - 03.06.2025 06:15,6.71,130.76,11,180.25,109.02,132.61,21.74,390.48,95.28
218,03.06.2025 06:15 - 03.06.2025 06:30,-5,130.76,11,180.25,109.02,132.61,21.74,390.48,95.28
219,03.06.2025 06:30 - 03.06.2025 06:45,130.76,130.76,8,180.25,109.02,132.61,21.74,390.48,95.28
220,03.06.2025 06:45 - 03.06.2025 07:00,130.76,130.76,9,180.25,109.02,132.61,21.74,390.48,95.28
221,03.06.2025 07:00 - 03.06.2025 07:15,-19.12,116.85,10,189.35,112.85,144.7,23.92,1029.91,91.54
222,03.06.2025 07:15 - 03.06.2025 07:30,-23.64,116.85,13,189.35,112.85,144.7,23.92,1029.91,91.54
223,03.06.2025 07:30 - 03.06.2025 07:45,8.19,116.85,14,189.35,112.85,144.7,23.92,1029.91,91.54
224,03.06.2025 07:45 - 03.06.2025 08:00,1.19,116.85,14,189.35,112.85,144.7,23.92,1029.91,91.54
225,03.06.2025 08:00 - 03.06.2025 08:15,-8.9,85.98,20,162.08,122.72,158.3,26.73,1816.31,91.5
